"Rank","Player","Pos","Team
                        Signed With","Age
                        At Signing","Start","End","Yrs","Value","AAV","Type"
"T325","Richaun Holmes","C","SAC
                     SAC","25","2019","2020","2","$9,772,350","$4,886,175","Free Agent"
"329","Ante Zizic","C","BOS
                     BOS","19","2017","2020","4","$9,751,975","$2,437,994","Rookie"
"330","Meyers Leonard","C","POR
                     POR","19","2012","2015","4","$9,742,479","$2,435,620","Rookie"
"331","Steven Adams","C","OKC
                     OKC","19","2013","2016","4","$9,695,397","$2,423,849","Rookie"
"332","Meyers Leonard","C","MIA
                     MIA","28","2020","2020","1","$9,400,000","$9,400,000","Free Agent"
"333","Nene Hilario","C","DEN
                     DEN","19","2002","2005","4","$9,348,529","$2,337,132","Rookie"
"334","Ed Davis","C","TOR
                     TOR","20","2010","2013","4","$9,343,100","$2,335,775","Rookie"
"335","Robert Williams III","C","BOS
                     BOS","20","2018","2021","4","$9,283,856","$2,320,964","Rookie"
"336","Boris Diaw","C","SAS
                     SAS","29","2012","2013","2","$9,202,500","$4,601,250",""
"337","Shelden Williams","C","ATL
                     ATL","","2006","2008","3","$9,079,920","$3,026,640","Rookie"
"338","Dewayne Dedmon","C","MIA
                     MIA","32","2022","2023","2","$9,024,000","$4,512,000","Free Agent"
"T339","Tibor Pleiss","C","UTA
                     UTA","25","2015","2017","3","$9,000,000","$3,000,000",""
"T339","Kosta Koufos","C","DEN
                     DEN","22","2012","2014","3","$9,000,000","$3,000,000","Rookie Extension"
"T339","Jordan Hill","C","LAL
                     LAL","26","2014","2014","1","$9,000,000","$9,000,000",""
"342","Matt Bonner","C","SAS
                     SAS","26","2007","2009","3","$8,940,000","$2,980,000",""
"343","Andrew Bynum","C","LAL
                     LAL","17","2005","2008","4","$8,860,440","$2,215,110","Rookie"
"344","Taj Gibson","C","CHI
                     CHI","23","2009","2012","4","$8,690,948","$2,172,737","Rookie"
"345","Larry Sanders","C","MIL
                     MIL","21","2010","2013","4","$8,639,008","$2,159,752","Rookie"
"346","DeSagana Diop","C","CLE
                     CLE","18","2001","2004","4","$8,637,084","$2,159,271","Rookie"
"347","Tony Bradley","C","UTA
                     UTA","18","2017","2020","4","$8,598,860","$2,149,715","Rookie"
"348","Alex Len","C","ATL
                     ATL","24","2018","2019","2","$8,510,000","$4,255,000",""
"349","Hilton Armstrong","C","NOH
                     NOH","21","2006","2009","4","$8,501,198","$2,125,300","Rookie"
"350","Hakeem Olajuwon","C","HOU
                     HOU","27","1991","1992","2","$8,474,900","$4,237,450","Veteran Extension"
"T351","Jusuf Nurkic","C","DEN
                     DEN","19","2014","2016","4","$8,473,305","$2,118,326","Rookie"
"T351","Lucas Nogueira","C","TOR
                     TOR","21","2014","2017","4","$8,473,305","$2,118,326","Rookie"
"353","Marcus Camby","C","TOR
                     TOR","21","1996","1998","3","$8,397,240","$2,799,080","Rookie"
"354","Luc Longley","C","CHI
                     CHI","25","1995","1997","3","$8,274,900","$2,758,300","Free Agent"
"355","Andris Biedrins","C","GSW
                     GSW","17","2004","2007","4","$8,208,776","$2,052,194","Rookie"
"356","Jaylin Williams","C","OKC
                     OKC","20","2022","2025","4","$8,207,398","$2,051,850","Rookie"
"357","JaVale McGee","C","LAL
                     LAL","30","2019","2020","2","$8,200,000","$4,100,000","Free Agent"
"358","Henry Ellenson","C","DET
                     DET","18","2016","2019","4","$8,199,204","$2,049,801","Rookie"
"359","Jordan Hill","C","MIN
                     MIN","28","2016","2017","2","$8,180,000","$4,090,000",""
"360","Robin Lopez","C","PHX
                     PHX","20","2009","2011","4","$8,099,162","$2,024,791","Rookie"
"361","Jordan Hill","C","HOU
                     HOU","21","2009","2011","3","$8,008,560","$2,669,520","Rookie"
"T362","Kwame Brown","C","DET
                     DET","25","2008","2009","2","$8,000,000","$4,000,000",""
"T362","Chris Kaman","C","DAL
                     DAL","29","2012","2012","1","$8,000,000","$8,000,000",""
"T362","Kevin Love","C","MIA
                     MIA","35","2024","2025","2","$8,000,000","$4,000,000","Free Agent"
"365","Nikola Vucevic","C","PHI
                     PHI","20","2011","2014","4","$7,909,700","$1,977,425","Rookie"
"T366","Oso Ighodaro","C","PHX
                     PHX","21","2024","2027","4","$7,895,796","$1,973,949","Rookie"
"T366","Adem Bona","C","PHI
                     PHI","21","2024","2027","4","$7,895,796","$1,973,949","Rookie"
"368","Kevin Love","C","MIA
                     MIA","34","2023","2024","2","$7,863,263","$3,931,632","Free Agent"
"369","Alex Len","C","SAC
                     SAC","28","2021","2022","2","$7,650,600","$3,825,300","Free Agent"
"370","Joel Przybilla","C","MIL
                     MIL","20","2000","2003","4","$7,597,509","$1,899,377","Rookie"
"371","Samuel Dalembert","C","DAL
                     DAL","27","2013","2014","2","$7,568,030","$3,784,015",""
"372","Tyler Zeller","C","CLE
                     CLE","21","2012","2015","4","$7,517,295","$1,879,324","Rookie"
"373","Robert Parish","C","BOS
                     BOS","38","1992","1993","2","$7,513,000","$3,756,500","Veteran Extension"
"374","Willy Hernangomez","C","NOP
                     NOP","27","2021","2023","3","$7,330,743","$2,443,581","Free Agent"
"375","Roy Hibbert","C","IND
                     IND","21","2008","2011","4","$7,314,670","$1,828,668","Rookie"
"376","Robin Lopez","C","WAS
                     WAS","32","2020","2020","1","$7,300,000","$7,300,000","Free Agent"
"377","Neemias Queta","C","BOS
                     BOS","24","2024","2026","3","$7,180,128","$2,393,376","Free Agent"
"378","Al Jefferson","C","BOS
                     BOS","18","2004","2007","4","$7,019,285","$1,754,821","Rookie"
"T379","Melvin Ely","C","LAC
                     LAC","23","2002","2005","4","$7,000,000","$1,750,000",""
"T379","Jordan Hill","C","LAL
                     LAL","24","2012","2013","2","$7,000,000","$3,500,000",""
"T379","Boban Marjanovic","C","DAL
                     DAL","30","2019","2020","2","$7,000,000","$3,500,000","Free Agent"
"T379","Boban Marjanovic","C","DAL
                     DAL","32","2021","2022","2","$7,000,000","$3,500,000","Free Agent"
"T379","Mike Muscala","C","OKC
                     OKC","30","2021","2022","2","$7,000,000","$3,500,000","Free Agent"
"T379","Mike Muscala","C","OKC
                     OKC","31","2022","2023","2","$7,000,000","$3,500,000","Free Agent"
"385","Ryan Hollins","C","MIN
                     MIN","24","2009","2011","3","$6,999,999","$2,333,333",""
"386","JaVale McGee","C","WAS
                     WAS","19","2008","2011","4","$6,952,320","$1,738,080","Rookie"
"387","Cole Aldrich","C","OKC
                     OKC","21","2010","2012","3","$6,858,000","$2,286,000","Rookie"
"388","Moses Brown","C","OKC
                     OKC","21","2021","2023","4","$6,796,049","$1,699,012","rest-of-season"
"389","Kwame Brown","C","GSW
                     GSW","28","2011","2011","1","$6,750,000","$6,750,000",""
"390","Etan Thomas","C","DAL
                     DAL","1,999","2000","2003","4","$6,680,062","$1,670,016","Rookie"
"391","Gorgui Dieng","C","MIN
                     MIN","22","2013","2016","4","$6,589,343","$1,647,336","Rookie"
"392","Vernon Carey Jr.","C","CHA
                     CHA","19","2020","2022","3","$6,581,283","$2,193,761","Rookie"
"T393","Andre Drummond","C","CHI
                     CHI","28","2022","2023","2","$6,560,000","$3,280,000","Free Agent"
"T393","Ekpe Udoh","C","LAC
                     LAC","29","2017","2018","2","$6,560,000","$3,280,000",""
"395","Xavier Tillman","C","MEM
                     MEM","21","2020","2023","4","$6,531,283","$1,632,821","Rookie"
"396","Mason Plumlee","C","BKN
                     BKN","22","2013","2016","4","$6,399,770","$1,599,943","Rookie"
"397","Luc Longley","C","MIN
                     MIN","21","1991","1994","4","$6,360,000","$1,590,000","Rookie"
"398","Damian Jones","C","GSW
                     GSW","20","2016","2019","4","$6,334,179","$1,583,545","Rookie"
"399","Duop Reath","C","POR
                     POR","27","2023","2025","3","$6,221,677","$2,073,892","rest-of-season"
"400","Vitor Faverani","C","BOS
                     BOS","24","2013","2015","3","$6,180,000","$2,060,000",""
"T401","Daniel Gafford","C","CHI
                     CHI","23","2019","2022","4","$6,129,593","$1,532,398","Rookie"
"T401","Naz Reid","C","MIN
                     MIN","19","2019","2022","4","$6,129,593","$1,532,398",""
"403","Jonathan Mogbo","C","TOR
                     TOR","22","2024","2026","3","$6,113,913","$2,037,971","Rookie"
"404","Clint Capela","C","HOU
                     HOU","19","2014","2017","4","$6,062,688","$1,515,672","Rookie"
"405","Willy Hernangomez","C","NYK
                     NYK","21","2016","2019","4","$6,032,436","$1,508,109",""
"T406","DeJaun Blair","C","DAL
                     DAL","24","2014","2016","3","$6,000,000","$2,000,000","sign-and-trade"
"T406","Justin Hamilton","C","BKN
                     BKN","25","2016","2017","2","$6,000,000","$3,000,000",""
"T406","Khem Birch","C","ORL
                     ORL","26","2019","2020","2","$6,000,000","$3,000,000","Free Agent"
"T406","Francisco Elson","C","SAS
                     SAS","","2006","2007","2","$6,000,000","$3,000,000",""
"410","DeSagana Diop","C","DAL
                     DAL","22","2005","2007","3","$5,994,000","$1,998,000",""
"411","Dewayne Dedmon","C","SAS
                     SAS","26","2016","2017","2","$5,926,410","$2,963,205",""
"412","Kosta Koufos","C","UTA
                     UTA","18","2008","2011","4","$5,899,792","$1,474,948","Rookie"
"413","Serge Ibaka","C","OKC
                     OKC","19","2009","2012","4","$5,865,661","$1,466,415","Rookie"
"414","Kwame Brown","C","PHI
                     PHI","29","2012","2013","2","$5,764,945","$2,882,473",""
"415","Bismack Biyombo","C","TOR
                     TOR","22","2015","2016","2","$5,754,630","$2,877,315",""
"416","Christian Wood","C","LAL
                     LAL","27","2023","2024","2","$5,745,889","$2,872,945","Free Agent"
"417","Jericho Sims","C","NYK
                     NYK","23","2022","2024","3","$5,658,206","$1,886,069","Free Agent"
"418","Rudy Gobert","C","UTA
                     UTA","20","2013","2016","4","$5,503,368","$1,375,842","Rookie"
"419","Robert Parish","C","BOS
                     BOS","36","1990","1991","2","$5,500,000","$2,750,000","Veteran Extension"
"420","Greg Monroe","C","DET
                     DET","23","2014","2014","1","$5,479,933","$5,479,933",""
"421","Miles Plumlee","C","IND
                     IND","23","2012","2015","4","$5,473,973","$1,368,493","Rookie"
"422","Omer Yurtseven","C","UTA
                     UTA","25","2023","2024","2","$5,460,000","$2,730,000","Free Agent"
"423","Thomas Bryant","C","MIA
                     MIA","25","2023","2024","2","$5,373,575","$2,686,788","Free Agent"
"424","DeMarcus Cousins","C","GSW
                     GSW","27","2018","2018","1","$5,337,000","$5,337,000",""
"425","Jason Collins","C","NJN
                     NJN","13","2001","2004","4","$5,330,184","$1,332,546","Rookie"
"T426","Drew Eubanks","C","SAS
                     SAS","23","2020","2022","3","$5,294,220","$1,764,740","Free Agent"
"T426","Chimezie Metu","C","SAC
                     SAC","23","2020","2020","3","$5,294,220","$1,764,740","Free Agent"
"T428","Aaron Gray","C","TOR
                     TOR","27","2012","2013","2","$5,265,875","$2,632,938",""
"T428","Greg Stiemsma","C","MIN
                     MIN","26","2012","2013","2","$5,265,875","$2,632,938",""
"430","Alonzo Mourning","C","MIA
                     MIA","35","2006","2007","2","$5,262,500","$2,631,250",""
"431","Marc Gasol","C","LAL
                     LAL","35","2020","2021","2","$5,257,744","$2,628,872","Free Agent"
"432","Christian Koloko","C","TOR
                     TOR","22","2022","2024","3","$5,239,563","$1,746,521","Rookie"
"433","Montrezl Harrell","C","PHI
                     PHI","28","2022","2023","2","$5,223,516","$2,611,758","Free Agent"
"434","Festus Ezeli","C","GSW
                     GSW","22","2012","2015","4","$5,209,508","$1,302,377","Rookie"
"435","Richaun Holmes","C","PHI
                     PHI","21","2015","2018","4","$5,171,902","$1,292,976","Rookie"
"436","Boris Diaw","C","ATL
                     ATL","20","2003","2006","4","$5,163,421","$1,290,855","Rookie"
"437","Vincent Poirier","C","BOS
                     BOS","25","2019","2020","2","$5,125,000","$2,562,500","Free Agent"
"438","Drew Eubanks","C","PHX
                     PHX","26","2023","2024","2","$5,001,258","$2,500,629","Free Agent"
"T439","Nerlens Noel","C","NYK
                     NYK","26","2020","2020","1","$5,000,000","$5,000,000","Free Agent"
"T439","JaVale McGee","C","PHX
                     PHX","33","2021","2021","1","$5,000,000","$5,000,000","Free Agent"
"T439","Robin Lopez","C","ORL
                     ORL","33","2021","2021","1","$5,000,000","$5,000,000","Free Agent"
"T439","Mason Plumlee","C","LAC
                     LAC","33","2023","2023","1","$5,000,000","$5,000,000","Free Agent"
"T439","Bismack Biyombo","C","MEM
                     MEM","31","2023","2023","1","$5,000,000","$5,000,000","Free Agent"
"T439","Joel Anthony","C","DET
                     DET","32","2015","2016","2","$5,000,000","$2,500,000",""
"T439","Roy Hibbert","C","CHA
                     CHA","29","2016","2016","1","$5,000,000","$5,000,000",""
"T439","Greg Monroe","C","BOS
                     BOS","26","2017","2017","1","$5,000,000","$5,000,000",""
"447","Johan Petro","C","SEA
                     SEA","18","2005","2008","4","$4,960,413","$1,240,103","Rookie"
"448","Brendan Haywood","C","WAS
                     WAS","21","2001","2004","4","$4,891,185","$1,222,796","Rookie"
"449","Damian Jones","C","LAL
                     LAL","27","2022","2023","2","$4,885,050","$2,442,525","Free Agent"
"450","Tristan Vukcevic","C","WAS
                     WAS","21","2023","2024","2","$4,849,784","$2,424,892","rest-of-season"
"T451","Hamed Haddadi","C","MEM
                     MEM","22","2008","2010","3","$4,800,000","$1,600,000",""
"T451","David Andersen","C","NOH
                     NOH","28","2009","2010","2","$4,800,000","$2,400,000",""
"T453","James Wiseman","C","IND
                     IND","23","2024","2025","2","$4,784,366","$2,392,183","Free Agent"
"T453","Xavier Tillman","C","BOS
                     BOS","25","2024","2025","2","$4,784,366","$2,392,183","Free Agent"
"455","Frank Kaminsky","C","PHX
                     PHX","25","2019","2019","1","$4,767,000","$4,767,000","Free Agent"
"456","Mitchell Robinson","C","NYK
                     NYK","19","2018","2020","3","$4,709,013","$1,569,671","Rookie"
"457","Bruno Fernando","C","ATL
                     ATL","20","2019","2021","3","$4,700,602","$1,566,867","Rookie"
"458","Jaxson Hayes","C","LAL
                     LAL","23","2023","2024","2","$4,628,946","$2,314,473","Free Agent"
"459","Miroslav Raduljica","C","MIL
                     MIL","24","2013","2015","3","$4,567,500","$1,522,500",""
"460","Luke Kornet","C","BOS
                     BOS","26","2022","2023","2","$4,546,582","$2,273,291","Free Agent"
"461","Luka Garza","C","MIN
                     MIN","25","2024","2025","2","$4,512,184","$2,256,092","Free Agent"
"462","Luke Kornet","C","CHI
                     CHI","23","2019","2020","2","$4,500,000","$2,250,000","Free Agent"
"463","Willie Cauley-Stein","C","GSW
                     GSW","25","2019","2020","2","$4,463,840","$2,231,920","Free Agent"
"T464","Ed Davis","C","BKN
                     BKN","28","2018","2018","1","$4,449,000","$4,449,000",""
"T464","Kyle O'Quinn","C","NYK
                     NYK","27","2018","2018","1","$4,449,000","$4,449,000",""
"466","Chimezie Metu","C","SAC
                     SAC","24","2020","2022","3","$4,373,656","$1,457,885","rest-of-season"
"467","Aron Baynes","C","BOS
                     BOS","30","2017","2017","1","$4,328,000","$4,328,000",""
"T468","Marko Simonovic","C","CHI
                     CHI","21","2021","2023","3","$4,324,872","$1,441,624","Rookie"
"T468","Charles Bassey","C","PHI
                     PHI","20","2021","2023","3","$4,324,872","$1,441,624","Rookie"
"470","Ben Wallace","C","DET
                     DET","","2010","2011","2","$4,320,000","$2,160,000",""
"471","Kendrick Perkins","C","BOS
                     BOS","18","2003","2006","4","$4,315,609","$1,078,902","Rookie"
"472","Mike Muscala","C","OKC
                     OKC","27","2019","2020","2","$4,311,628","$2,155,814","Free Agent"
"473","Nick Richards","C","CHA
                     CHA","23","2020","2022","3","$4,300,602","$1,433,534","Rookie"
"474","Neemias Queta","C","SAC
                     SAC","24","2023","2024","2","$4,216,676","$2,108,338","Free Agent"
"475","Erick Dampier","C","IND
                     IND","","1996","1998","3","$4,200,880","$1,400,293","Rookie"
"T476","Nicolas Claxton","C","BKN
                     BKN","19","2019","2021","3","$4,198,912","$1,399,637","Rookie"
"T476","Dewan Hernandez","C","TOR
                     TOR","22","2019","2021","3","$4,198,912","$1,399,637","Rookie"
"T478","Nerlens Noel","C","DAL
                     DAL","22","2017","2017","1","$4,187,598","$4,187,598","Qualifying Offer"
"T478","Alex Len","C","PHX
                     PHX","23","2017","2017","1","$4,187,598","$4,187,598","Qualifying Offer"
"480","Alexis Ajinca","C","TOR
                     TOR","19","2008","2010","3","$4,116,240","$1,372,080","Rookie"
"481","Willie Cauley-Stein","C","DAL
                     DAL","27","2020","2020","1","$4,100,000","$4,100,000","Free Agent"
"482","Nikola Jokic","C","DEN
                     DEN","19","2015","2017","3","$4,075,500","$1,358,500",""
"483","Jahlil Okafor","C","DET
                     DET","24","2020","2021","2","$4,012,890","$2,006,445","Free Agent"
"T484","Gorgui Dieng","C","ATL
                     ATL","31","2021","2021","1","$4,000,000","$4,000,000","Free Agent"
"T484","Matt Bonner","C","SAS
                     SAS","24","2005","2006","2","$4,000,000","$2,000,000",""
"T484","Jordan Hill","C","IND
                     IND","27","2015","2015","1","$4,000,000","$4,000,000",""
"487","Patrick Ewing","C","ORL
                     ORL","38","2001","2002","2","$3,968,420","$1,984,210",""
"488","Samuel Dalembert","C","PHI
                     PHI","15","2001","2004","4","$3,949,289","$987,322","Rookie"
"489","Ike Anigbogu","C","IND
                     IND","18","2017","2019","3","$3,946,762","$1,315,587","Rookie"
"490","Deyonta Davis","C","MEM
                     MEM","19","2016","2018","3","$3,922,842","$1,307,614","Rookie"
"491","Orlando Robinson","C","MIA
                     MIA","22","2023","2024","2","$3,922,462","$1,961,231","Free Agent"
"T492","Isaiah Hartenstein","C","HOU
                     HOU","19","2018","2020","3","$3,919,177","$1,306,392","Rookie"
"T492","Chimezie Metu","C","SAS
                     SAS","20","2018","2020","3","$3,919,177","$1,306,392",""
"494","Paul Reed","C","PHI
                     PHI","21","2020","2022","3","$3,909,730","$1,303,243","rest-of-season"
"495","Ivica Zubac","C","LAL
                     LAL","18","2016","2018","3","$3,892,518","$1,297,506","Rookie"
"496","Tony Bradley","C","CHI
                     CHI","23","2021","2022","2","$3,825,574","$1,912,787","Free Agent"
"497","Anzejs Pasecniks","C","WAS
                     WAS","23","2019","2021","3","$3,782,746","$1,260,915","rest-of-season"
"498","Joe Kleine","C","PHX
                     PHX","30","1993","1996","4","$3,770,000","$942,500","Free Agent"
"499","Nazr Mohammed","C","OKC
                     OKC","33","2011","2011","1","$3,750,000","$3,750,000","Veteran Extension"
"500","Nerlens Noel","C","OKC
                     OKC","23","2018","2019","2","$3,745,548","$1,872,774",""
