"Rank","Player","Pos","Team
                        Signed With","Age
                        At Signing","Start","End","Yrs","Value","AAV","Type"
"T214","Chase Budinger","SF","MIN
                     MIN","24","2013","2015","3","$15,000,000","$5,000,000",""
"T214","Trevor Ariza","SF","PHX
                     PHX","32","2018","2018","1","$15,000,000","$15,000,000",""
"T214","Marcus Morris Sr.","SF","NYK
                     NYK","29","2019","2019","1","$15,000,000","$15,000,000","Free Agent"
"217","C.J. Miles","SF","UTA
                     UTA","20","2008","2011","4","$14,800,000","$3,700,000",""
"218","Trey Murphy III","SF","NOP
                     NOP","21","2021","2024","4","$14,779,415","$3,694,854","Rookie"
"219","Mike Dunleavy","SF","CHI
                     CHI","34","2015","2017","3","$14,512,500","$4,837,500",""
"220","Mike Dunleavy","SF","GSW
                     GSW","21","2002","2005","4","$14,503,941","$3,625,985","Rookie"
"221","Darius Miller","SF","NOP
                     NOP","28","2019","2020","2","$14,250,000","$7,125,000","Free Agent"
"222","Thabo Sefolosha","SF","OKC
                     OKC","25","2010","2013","4","$14,050,000","$3,512,500","Extension"
"223","Patrick Baldwin Jr.","SF","GSW
                     GSW","19","2022","2025","4","$13,993,276","$3,498,319","Rookie"
"224","Rasual Butler","SF","NOH
                     NOH","26","2006","2009","4","$13,890,000","$3,472,500",""
"225","Jerry Stackhouse","SF","DAL
                     DAL","32","2007","2008","3","$13,750,000","$4,583,333",""
"226","Justin Jackson","SF","SAC
                     SAC","21","2017","2020","4","$13,484,010","$3,371,003","Rookie"
"227","Dillon Jones","SF","OKC
                     OKC","22","2024","2027","4","$13,460,726","$3,365,182","Rookie"
"228","Marquese Chriss","SF","PHX
                     PHX","18","2016","2019","4","$13,299,636","$3,324,909","Rookie"
"229","Ben McLemore","SF","SAC
                     SAC","19","2013","2016","4","$13,087,722","$3,271,931","Rookie"
"230","Joe Ingles","SF","UTA
                     UTA","33","2021","2021","1","$13,036,364","$13,036,364","Veteran Extension"
"231","Saddiq Bey","SF","DET
                     DET","21","2020","2023","4","$13,030,303","$3,257,576","Rookie"
"232","Ben Sheppard","SF","IND
                     IND","21","2023","2026","4","$13,023,429","$3,255,857","Rookie"
"233","Ryan Dunn","SF","PHX
                     PHX","21","2024","2027","4","$12,998,353","$3,249,588","Rookie"
"234","Jalen Johnson","SF","ATL
                     ATL","19","2021","2024","4","$12,888,585","$3,222,146","Rookie"
"235","Stanley Johnson","SF","DET
                     DET","18","2015","2018","4","$12,850,042","$3,212,511","Rookie"
"236","DeShawn Stevenson","SF","WAS
                     WAS","25","2007","2010","4","$12,688,715","$3,172,179",""
"237","Brice Sensabaugh","SF","UTA
                     UTA","19","2023","2026","4","$12,576,077","$3,144,019","Rookie"
"238","Matt Barnes","SF","SAC
                     SAC","35","2016","2017","2","$12,525,625","$6,262,813",""
"T239","Ronnie Brewer","SF","CHI
                     CHI","24","2010","2011","3","$12,500,000","$4,166,667",""
"T239","Josh Childress","SF","ATL
                     ATL","26","2010","2011","2","$12,500,000","$6,250,000",""
"241","Julian Strawther","SF","DEN
                     DEN","21","2023","2026","4","$12,484,731","$3,121,183","Rookie"
"242","Otto Porter Jr.","SF","TOR
                     TOR","29","2022","2023","2","$12,300,000","$6,150,000","Free Agent"
"243","Martell Webster","SF","POR
                     POR","18","2005","2008","4","$12,111,493","$3,027,873","Rookie"
"244","Wesley Johnson","SF","MIN
                     MIN","22","2010","2012","3","$12,018,240","$4,006,080","Rookie"
"T245","Travis Outlaw","SF","SAC
                     SAC","26","2011","2014","4","$12,000,000","$3,000,000",""
"T245","Thabo Sefolosha","SF","OKC
                     OKC","29","2014","2016","3","$12,000,000","$4,000,000","sign-and-trade"
"T245","Julian Champagnie","SF","SAS
                     SAS","22","2023","2026","4","$12,000,000","$3,000,000","Free Agent"
"248","Rodney Hood","SF","POR
                     POR","26","2019","2020","2","$11,721,900","$5,860,950","Free Agent"
"249","Josh Childress","SF","ATL
                     ATL","20","2004","2006","4","$11,662,929","$2,915,732","Rookie"
"250","Travis Outlaw","SF","POR
                     POR","22","2007","2009","3","$11,600,000","$3,866,667",""
"251","Terrence Ross","SF","TOR
                     TOR","20","2012","2015","4","$11,589,837","$2,897,459","Rookie"
"252","Nikola Jovic","SF","MIA
                     MIA","19","2022","2025","4","$11,501,537","$2,875,384","Rookie"
"253","Dorell Wright","SF","GSW
                     GSW","24","2010","2012","3","$11,429,000","$3,809,667",""
"254","Danny Green","SF","SAS
                     SAS","24","2012","2014","3","$11,287,500","$3,762,500",""
"255","Jake Layman","SF","POR
                     POR","24","2019","2021","3","$11,283,255","$3,761,085","Free Agent"
