"Rank","Player","Pos","Team
                        Signed With","Age
                        At Signing","Start","End","Yrs","Value","AAV","Type"
"59","Domantas Sabonis","PF","IND
                     IND","27","2020","2023","4","$74,900,000","$18,725,000","Rookie Extension"
"60","Chris Webber","PF","GSW
                     GSW","19","1993","2007","15","$74,400,000","$4,960,000","Rookie"
"61","Chris Webber","PF","GSW
                     GSW","20","1994","2005","12","$73,100,000","$6,091,667",""
"62","Lamar Odom","PF","MIA
                     MIA","23","2003","2008","6","$71,723,313","$11,953,886",""
"63","Antoine Walker","PF","BOS
                     BOS","22","1999","2004","6","$70,880,000","$11,813,333","Extension"
"64","Carlos Boozer","PF","UTA
                     UTA","22","2004","2009","6","$70,196,599","$11,699,433",""
"65","Jonathan Isaac","PF","ORL
                     ORL","23","2021","2024","4","$69,600,000","$17,400,000","Rookie Extension"
"66","Dirk Nowitzki","PF","DAL
                     DAL","27","2006","2009","4","$69,335,337","$17,333,834","Extension"
"67","Lauri Markkanen","PF","CHI
                     CHI","24","2021","2024","4","$67,470,906","$16,867,727","sign-and-trade"
"68","Karl Malone","PF","UTA
                     UTA","35","1999","2002","4","$66,500,000","$16,625,000",""
"69","Zach Randolph","PF","MEM
                     MEM","29","2011","2014","4","$66,000,000","$16,500,000","Veteran Extension"
"70","LaMarcus Aldridge","PF","POR
                     POR","24","2010","2014","5","$65,000,000","$13,000,000","Rookie Extension"
"71","Danilo Gallinari","PF","DEN
                     DEN","28","2017","2019","3","$64,762,737","$21,587,579","sign-and-trade"
"72","Carmelo Anthony","PF","NYK
                     NYK","27","2012","2013","3","$64,166,861","$21,388,954","Veteran Extension"
"73","Tobias Harris","PF","ORL
                     ORL","22","2015","2018","4","$64,000,000","$16,000,000",""
"74","Julius Randle","PF","NYK
                     NYK","24","2019","2021","3","$62,100,000","$20,700,000","Free Agent"
"75","Danilo Gallinari","PF","ATL
                     ATL","32","2020","2022","3","$61,425,000","$20,475,000","sign-and-trade"
"76","LeBron James","PF","CLE
                     CLE","22","2007","2010","4","$60,380,987","$15,095,247","Extension"
"77","Paul Millsap","PF","ATL
                     ATL","29","2015","2017","3","$60,216,100","$20,072,033",""
"78","Jerami Grant","PF","DET
                     DET","25","2020","2022","3","$60,007,500","$20,002,500","sign-and-trade"
"79","Kristaps Porzingis","PF","BOS
                     BOS","27","2024","2025","2","$60,000,000","$30,000,000","Veteran Extension"
"80","Jonathan Isaac","PF","ORL
                     ORL","26","2025","2028","4","$59,000,000","$14,750,000","Veteran Extension"
"81","Rasheed Wallace","PF","DET
                     DET","29","2004","2008","5","$58,700,000","$11,740,000",""
"T82","Chris Webber","PF","WAS
                     WAS","21","1995","2000","6","$58,500,000","$9,750,000",""
"T82","Antonio McDyess","PF","DEN
                     DEN","24","1999","2003","5","$58,500,000","$11,700,000",""
"84","Obi Toppin","PF","IND
                     IND","26","2024","2027","4","$58,000,000","$14,500,000","Free Agent"
"85","Troy Murphy","PF","GSW
                     GSW","24","2005","2010","6","$57,999,998","$9,666,666",""
"86","Dorian Finney-Smith","PF","DAL
                     DAL","28","2022","2025","4","$55,560,960","$13,890,240","Veteran Extension"
"87","Marvin Williams","PF","CHA
                     CHA","29","2016","2019","4","$54,512,500","$13,628,125",""
"T88","Thaddeus Young","PF","BKN
                     BKN","26","2015","2018","4","$54,000,000","$13,500,000",""
"T88","Harrison Barnes","PF","SAC
                     SAC","31","2023","2025","3","$54,000,000","$18,000,000","Veteran Extension"
"90","Grant Williams","PF","BOS
                     BOS","24","2023","2026","4","$53,341,500","$13,335,375","sign-and-trade"
"91","Tobias Harris","PF","DET
                     DET","31","2024","2025","2","$52,000,000","$26,000,000","Free Agent"
"92","Kevin Garnett","PF","BOS
                     BOS","32","2009","2011","3","$51,300,000","$17,100,000","Veteran Extension"
"93","Alex Sarr","PF","WAS
                     WAS","19","2024","2027","4","$51,036,398","$12,759,100","Rookie"
"94","Rui Hachimura","PF","LAL
                     LAL","25","2023","2025","3","$51,000,000","$17,000,000","Free Agent"
"95","Paolo Banchero","PF","ORL
                     ORL","19","2022","2025","4","$50,158,769","$12,539,692","Rookie"
"T96","Kelly Olynyk","PF","MIA
                     MIA","25","2017","2020","4","$50,000,000","$12,500,000",""
"T96","LaMarcus Aldridge","PF","SAS
                     SAS","33","2019","2020","2","$50,000,000","$25,000,000","Veteran Extension"
"T96","Brandon Clarke","PF","MEM
                     MEM","26","2023","2026","4","$50,000,000","$12,500,000","Rookie Extension"
"T96","Antawn Jamison","PF","WAS
                     WAS","31","2008","2011","4","$50,000,000","$12,500,000","Extension"
"T96","Kenneth Faried","PF","DEN
                     DEN","25","2015","2018","4","$50,000,000","$12,500,000","Rookie Extension"
"101","Horace Grant","PF","ORL
                     ORL","30","1996","2000","5","$49,438,095","$9,887,619","Free Agent"
"102","Bobby Portis","PF","MIL
                     MIL","27","2022","2025","4","$48,578,208","$12,144,552","Free Agent"
"103","Anderson Varejao","PF","CLE
                     CLE","26","2009","2014","6","$48,300,000","$8,050,000",""
"T104","Quentin Richardson","PF","PHX
                     PHX","23","2004","2009","6","$48,000,000","$8,000,000",""
"T104","John Henson","PF","MIL
                     MIL","25","2016","2019","4","$48,000,000","$12,000,000","Rookie Extension"
"T104","Jarred Vanderbilt","PF","LAL
                     LAL","24","2024","2027","4","$48,000,000","$12,000,000","Veteran Extension"
"107","Dirk Nowitzki","PF","DAL
                     DAL","23","2002","2005","4","$47,821,813","$11,955,453","Extension"
"108","Luis Scola","PF","HOU
                     HOU","29","2010","2014","5","$47,041,037","$9,408,207",""
"109","LeBron James","PF","CLE
                     CLE","30","2015","2016","2","$46,974,673","$23,487,337","maximum"
"110","Robert Covington","PF","PHI
                     PHI","27","2018","2021","4","$46,879,127","$11,719,782","Veteran Extension"
"111","PJ Washington","PF","CHA
                     CHA","25","2023","2025","3","$46,500,000","$15,500,000","Free Agent"
"112","Danilo Gallinari","PF","DEN
                     DEN","26","2015","2017","3","$45,150,000","$15,050,000","Veteran Extension"
"113","Larry Nance Jr.","PF","CLE
                     CLE","25","2019","2022","4","$44,800,000","$11,200,000","Rookie Extension"
"114","Zion Williamson","PF","NOP
                     NOP","18","2019","2022","4","$44,271,137","$11,067,784","Rookie"
"115","Thaddeus Young","PF","CHI
                     CHI","30","2019","2021","3","$43,635,000","$14,545,000","Free Agent"
"116","James Johnson","PF","MIA
                     MIA","29","2017","2019","3","$43,295,100","$14,431,700",""
"117","Thaddeus Young","PF","PHI
                     PHI","22","2011","2014","5","$43,000,000","$8,600,000",""
"118","Chris Bosh","PF","TOR
                     TOR","22","2007","2009","3","$42,645,493","$14,215,164","rookie-maximum-extension"
"119","LeBron James","PF","CLE
                     CLE","29","2014","2014","2","$42,217,798","$21,108,899","maximum"
"T120","Danilo Gallinari","PF","DEN
                     DEN","23","2012","2015","4","$42,000,000","$10,500,000","Rookie Extension"
"T120","Jon Leuer","PF","DET
                     DET","26","2016","2019","4","$42,000,000","$10,500,000",""
"122","Jabari Smith Jr.","PF","HOU
                     HOU","19","2022","2025","4","$40,330,432","$10,082,608","Rookie"
"T123","Tyrus Thomas","PF","CHA
                     CHA","23","2010","2014","5","$40,000,000","$8,000,000",""
"T123","Tim Duncan","PF","SAS
                     SAS","33","2010","2011","2","$40,000,000","$20,000,000","Veteran Extension"
"T123","Ersan Ilyasova","PF","MIL
                     MIL","24","2012","2016","5","$40,000,000","$8,000,000",""
"T123","Rudy Gay","PF","SAC
                     SAC","28","2015","2017","3","$40,000,000","$13,333,333","Veteran Extension"
"127","Kyle Kuzma","PF","LAL
                     LAL","25","2021","2023","3","$39,000,000","$13,000,000","Rookie Extension"
"128","David West","PF","NOH
                     NOH","26","2007","2010","4","$37,875,000","$9,468,750",""
"129","Charlie Villanueva","PF","DET
                     DET","24","2009","2013","5","$37,700,000","$7,540,000",""
"T130","Marvin Williams","PF","ATL
                     ATL","22","2009","2013","5","$37,500,000","$7,500,000",""
"T130","Andres Nocioni","PF","CHI
                     CHI","2,007","2008","2012","5","$37,500,000","$7,500,000",""
"T130","Marvin Bagley III","PF","DET
                     DET","23","2022","2024","3","$37,500,000","$12,500,000","Free Agent"
"133","Kelly Olynyk","PF","DET
                     DET","30","2021","2023","3","$37,195,122","$12,398,374","Free Agent"
"134","Kyle Anderson","PF","MEM
                     MEM","24","2018","2021","4","$37,156,300","$9,289,075",""
"135","Evan Mobley","PF","CLE
                     CLE","20","2021","2024","4","$36,664,177","$9,166,044","Rookie"
"136","David West","PF","IND
                     IND","32","2013","2015","3","$36,600,000","$12,200,000",""
"137","Keegan Murray","PF","SAC
                     SAC","21","2022","2025","4","$36,371,093","$9,092,773","Rookie"
"138","Marvin Bagley III","PF","SAC
                     SAC","18","2018","2021","4","$36,137,474","$9,034,369","Rookie"
"T139","Kevin Garnett","PF","BOS
                     BOS","35","2012","2014","3","$36,000,000","$12,000,000",""
"T139","Tiago Splitter","PF","SAS
                     SAS","27","2013","2016","4","$36,000,000","$9,000,000",""
"141","Maxi Kleber","PF","DAL
                     DAL","26","2019","2022","4","$35,600,000","$8,900,000","Free Agent"
"142","Al Harrington","PF","ATL
                     ATL","25","2006","2009","4","$35,303,750","$8,825,938","sign-and-trade"
"143","Chris Boucher","PF","TOR
                     TOR","29","2022","2024","3","$35,250,000","$11,750,000","Free Agent"
"144","Jeff Green","PF","BOS
                     BOS","25","2012","2015","4","$35,200,000","$8,800,000",""
"145","Jason Caffey","PF","GSW
                     GSW","24","1998","2004","7","$35,000,000","$5,000,000","Free Agent"
"146","Brian Cardinal","PF","MEM
                     MEM","2,003","2004","2009","6","$34,596,300","$5,766,050",""
"147","Tidjane Salaun","PF","CHA
                     CHA","18","2024","2027","4","$34,035,473","$8,508,868","Rookie"
"T148","Joe Smith","PF","MIN
                     MIN","2,000","2001","2006","6","$34,000,000","$5,666,667",""
"T148","Ryan Anderson","PF","NOH
                     NOH","23","2012","2015","4","$34,000,000","$8,500,000",""
"150","Al Harrington","PF","DEN
                     DEN","29","2010","2014","5","$33,437,000","$6,687,400",""
"151","Scottie Barnes","PF","TOR
                     TOR","20","2021","2024","4","$33,064,660","$8,266,165","Rookie"
"152","P.J. Tucker","PF","PHI
                     PHI","37","2022","2024","3","$33,043,500","$11,014,500","Free Agent"
"153","Maxi Kleber","PF","DAL
                     DAL","30","2023","2025","3","$33,000,000","$11,000,000","Veteran Extension"
"154","Lamar Odom","PF","LAL
                     LAL","29","2009","2012","4","$32,800,000","$8,200,000",""
"155","Rashard Lewis","PF","SEA
                     SEA","23","2003","2006","4","$32,727,273","$8,181,818",""
"156","Patrick Williams","PF","CHI
                     CHI","18","2020","2023","4","$32,101,641","$8,025,410","Rookie"
"157","Drew Gooden","PF","MIL
                     MIL","28","2010","2014","5","$32,048,400","$6,409,680",""
"158","Zeke Nnaji","PF","DEN
                     DEN","22","2024","2027","4","$32,000,001","$8,000,000","Rookie Extension"
"T159","Channing Frye","PF","ORL
                     ORL","30","2014","2017","4","$32,000,000","$8,000,000",""
"T159","Markieff Morris","PF","PHX
                     PHX","25","2015","2018","4","$32,000,000","$8,000,000","Rookie Extension"
"T159","Cristiano Felicio","PF","CHI
                     CHI","24","2017","2020","4","$32,000,000","$8,000,000",""
"T159","Rudy Gay","PF","SAS
                     SAS","32","2019","2020","2","$32,000,000","$16,000,000","Free Agent"
"163","Tim Duncan","PF","SAS
                     SAS","23","2000","2002","3","$31,902,500","$10,634,167",""
"164","P.J. Tucker","PF","HOU
                     HOU","31","2017","2020","4","$31,878,148","$7,969,537",""
"165","Antoine Walker","PF","BOS
                     BOS","28","2005","2008","4","$31,670,935","$7,917,734",""
"166","Nick Collison","PF","SEA
                     SEA","26","2007","2010","4","$31,600,000","$7,900,000","Rookie Extension"
"167","Mirza Teletovic","PF","MIL
                     MIL","30","2016","2018","3","$31,500,000","$10,500,000",""
"168","Tim Duncan","PF","SAS
                     SAS","35","2012","2014","3","$30,361,446","$10,120,482",""
"169","Udonis Haslem","PF","MIA
                     MIA","24","2005","2009","5","$30,250,000","$6,050,000",""
"170","Jason Thompson","PF","SAC
                     SAC","25","2012","2016","5","$30,187,500","$6,037,500",""
"171","Jayson Tatum","PF","BOS
                     BOS","18","2017","2020","4","$30,073,320","$7,518,330","Rookie"
"T172","Channing Frye","PF","PHX
                     PHX","26","2010","2013","5","$30,000,000","$6,000,000",""
"T172","Anderson Varejao","PF","CLE
                     CLE","32","2015","2017","3","$30,000,000","$10,000,000","Veteran Extension"
"T172","Al-Farouq Aminu","PF","POR
                     POR","24","2015","2018","4","$30,000,000","$7,500,000",""
"175","Juwan Howard","PF","ORL
                     ORL","29","2003","2008","5","$29,500,000","$5,900,000",""
"176","Jaren Jackson Jr.","PF","MEM
                     MEM","18","2018","2021","4","$29,280,440","$7,320,110","Rookie"
"177","Al-Farouq Aminu","PF","ORL
                     ORL","28","2019","2021","3","$29,162,700","$9,720,900","Free Agent"
"178","Clifford Robinson","PF","PHX
                     PHX","","1999","2002","4","$29,093,125","$7,273,281",""
"179","Kyle Anderson","PF","MIN
                     MIN","30","2024","2026","3","$27,658,536","$9,219,512","sign-and-trade"
"180","Jarace Walker","PF","IND
                     IND","19","2023","2026","4","$27,566,102","$6,891,526","Rookie"
"181","Jerami Grant","PF","OKC
                     OKC","23","2018","2020","3","$27,346,153","$9,115,384",""
"182","Kenrich Williams","PF","OKC
                     OKC","27","2023","2026","4","$27,170,000","$6,792,500","Veteran Extension"
"T183","Dario Saric","PF","PHX
                     PHX","26","2020","2022","3","$27,000,000","$9,000,000","Free Agent"
"T183","Jalen Smith","PF","CHI
                     CHI","24","2024","2026","3","$27,000,000","$9,000,000","Free Agent"
"185","Paul Millsap","PF","UTA
                     UTA","23","2009","2012","4","$26,400,000","$6,600,000",""
"186","Kelly Olynyk","PF","TOR
                     TOR","32","2024","2025","2","$26,250,000","$13,125,000","Veteran Extension"
"T187","Carl Landry","PF","SAC
                     SAC","29","2013","2016","4","$26,000,000","$6,500,000",""
"T187","Andrew Nicholson","PF","WAS
                     WAS","26","2016","2019","4","$26,000,000","$6,500,000",""
"189","Glen Davis","PF","BOS
                     BOS","24","2011","2014","4","$25,700,000","$6,425,000",""
"190","Georges Niang","PF","CLE
                     CLE","30","2023","2025","3","$25,500,000","$8,500,000","Free Agent"
"191","Taylor Hendricks","PF","UTA
                     UTA","19","2023","2026","4","$25,351,580","$6,337,895","Rookie"
"192","Taurean Prince","PF","BKN
                     BKN","25","2020","2021","2","$25,250,000","$12,625,000","Rookie Extension"
"T193","Dirk Nowitzki","PF","DAL
                     DAL","37","2016","2016","1","$25,000,000","$25,000,000",""
"T193","James Posey","PF","NOH
                     NOH","2,007","2008","2011","4","$25,000,000","$6,250,000",""
"T193","Dirk Nowitzki","PF","DAL
                     DAL","35","2014","2016","3","$25,000,000","$8,333,333",""
"196","Jonathan Kuminga","PF","GSW
                     GSW","18","2021","2024","4","$24,855,347","$6,213,837","Rookie"
"197","Kurt Thomas","PF","NYK
                     NYK","27","2000","2004","4","$24,275,750","$6,068,938",""
"198","Jared Jeffries","PF","NYK
                     NYK","24","2006","2010","5","$24,197,200","$4,839,440",""
"199","Al Harrington","PF","IND
                     IND","21","2002","2005","4","$24,035,000","$6,008,750","Rookie Extension"
"T200","Eduardo Najera","PF","DAL
                     DAL","25","2002","2007","6","$24,000,000","$4,000,000",""
"T200","Kris Humphries","PF","BKN
                     BKN","26","2012","2013","2","$24,000,000","$12,000,000",""
"T200","Juwan Howard","PF","WAS
                     WAS","20","1994","1999","6","$24,000,000","$4,000,000","Rookie"
"T200","Zach Randolph","PF","SAC
                     SAC","35","2017","2018","2","$24,000,000","$12,000,000",""
"T200","Robert Covington","PF","LAC
                     LAC","31","2022","2023","2","$24,000,000","$12,000,000","Veteran Extension"
"205","Drew Gooden","PF","CLE
                     CLE","24","2006","2008","3","$23,250,001","$7,750,000",""
"206","Jeremy Sochan","PF","SAS
                     SAS","19","2022","2025","4","$23,046,751","$5,761,688","Rookie"
"T207","Darrell Arthur","PF","DEN
                     DEN","27","2016","2018","3","$23,000,000","$7,666,667",""
"T207","Reggie Evans","PF","DEN
                     DEN","25","2006","2010","5","$23,000,000","$4,600,000",""
"T209","Spencer Hawes","PF","LAC
                     LAC","25","2014","2017","4","$22,652,350","$5,663,088",""
"T209","Josh McRoberts","PF","MIA
                     MIA","26","2014","2017","4","$22,652,350","$5,663,088",""
"211","James Posey","PF","MEM
                     MEM","2,002","2003","2006","4","$22,618,200","$5,654,550",""
"212","Antonio McDyess","PF","DET
                     DET","29","2004","2007","4","$22,553,800","$5,638,450",""
"213","Kurt Thomas","PF","NYK
                     NYK","32","2005","2007","3","$22,532,732","$7,510,911","Extension"
"214","Chuck Hayes","PF","SAC
                     SAC","27","2011","2014","4","$22,417,500","$5,604,375",""
"215","Jonathan Isaac","PF","ORL
                     ORL","19","2017","2020","4","$22,324,406","$5,581,102","Rookie"
"216","Jabari Parker","PF","MIL
                     MIL","18","2014","2016","3","$22,239,712","$7,413,237","Rookie"
"217","Obi Toppin","PF","NYK
                     NYK","22","2020","2023","4","$22,118,492","$5,529,623","Rookie"
"218","Larry Nance Jr.","PF","NOP
                     NOP","29","2023","2024","2","$21,580,000","$10,790,000","Veteran Extension"
"219","Juancho Hernangomez","PF","MIN
                     MIN","25","2020","2022","3","$21,037,320","$7,012,440","Free Agent"
"220","Darko Milicic","PF","MEM
                     MEM","21","2007","2009","3","$21,020,000","$7,006,667",""
"221","Ersan Ilyasova","PF","MIL
                     MIL","30","2018","2020","3","$21,000,000","$7,000,000",""
"222","Nemanja Bjelica","PF","SAC
                     SAC","29","2018","2020","3","$20,475,000","$6,825,000",""
"223","Lauri Markkanen","PF","CHI
                     CHI","19","2017","2020","4","$20,389,668","$5,097,417","Rookie"
"224","Rui Hachimura","PF","WAS
                     WAS","20","2019","2022","4","$20,341,348","$5,085,337","Rookie"
"225","Udonis Haslem","PF","MIA
                     MIA","29","2010","2013","5","$20,300,000","$4,060,000",""
"T226","Jason Maxiell","PF","DET
                     DET","25","2009","2012","4","$20,000,000","$5,000,000","Extension"
"T226","David West","PF","IND
                     IND","30","2011","2012","2","$20,000,000","$10,000,000",""
"T226","Zach Randolph","PF","MEM
                     MEM","33","2015","2016","2","$20,000,000","$10,000,000","Veteran Extension"
"T226","Jabari Parker","PF","CHI
                     CHI","22","2018","2018","1","$20,000,000","$20,000,000",""
"230","Chris Wilcox","PF","SEA
                     SEA","23","2006","2008","3","$19,500,000","$6,500,000",""
"231","Brandon Bass","PF","BOS
                     BOS","26","2012","2014","3","$19,350,000","$6,450,000",""
"232","Jalen Smith","PF","PHX
                     PHX","19","2020","2023","4","$19,328,334","$4,832,084","Rookie"
"233","Dragan Bender","PF","PHX
                     PHX","18","2016","2019","4","$19,302,919","$4,825,730","Rookie"
"234","Paul Millsap","PF","ATL
                     ATL","27","2013","2014","2","$19,000,000","$9,500,000",""
"235","Charles Barkley","PF","PHX
                     PHX","29","1993","1997","5","$18,985,000","$3,797,000","Veteran Extension"
"236","Rasheed Wallace","PF","BOS
                     BOS","34","2009","2011","3","$18,966,960","$6,322,320",""
"237","LaMarcus Aldridge","PF","POR
                     POR","20","2006","2007","4","$18,832,907","$4,708,227","Rookie"
"238","LeBron James","PF","CLE
                     CLE","18","2003","2006","4","$18,788,540","$4,697,135","Rookie"
"239","Luc Richard Mbah a Moute","PF","MIL
                     MIL","24","2011","2014","4","$18,765,152","$4,691,288",""
"240","Kristaps Porzingis","PF","NYK
                     NYK","19","2015","2018","4","$18,650,094","$4,662,524","Rookie"
"241","Rudy Gay","PF","UTA
                     UTA","34","2021","2023","3","$18,553,500","$6,184,500","Free Agent"
"242","Dean Wade","PF","CLE
                     CLE","25","2023","2025","3","$18,500,000","$6,166,667","Veteran Extension"
"243","Trevor Booker","PF","BKN
                     BKN","28","2016","2017","2","$18,375,000","$9,187,500",""
"244","Marvin Williams","PF","ATL
                     ATL","18","2005","2008","4","$18,160,543","$4,540,136","Rookie"
"245","Patrick Patterson","PF","TOR
                     TOR","24","2014","2016","3","$18,150,001","$6,050,000",""
"246","Tyrus Thomas","PF","CHA
                     CHA","26","2013","2014","2","$18,082,645","$9,041,323","amnesty"
"247","Aaron Gordon","PF","ORL
                     ORL","18","2014","2017","4","$18,019,460","$4,504,865","Rookie"
"T248","Hakim Warrick","PF","PHX
                     PHX","27","2010","2013","4","$18,000,000","$4,500,000",""
"T248","Jonas Jerebko","PF","DET
                     DET","23","2011","2014","4","$18,000,000","$4,500,000",""
"T248","Kyle Anderson","PF","MIN
                     MIN","28","2022","2023","2","$18,000,000","$9,000,000","Free Agent"
"251","Karl Malone","PF","UTA
                     UTA","26","1990","1995","5","$17,805,800","$3,561,160","Rookie Extension"
"252","Julius Randle","PF","NOP
                     NOP","23","2018","2019","2","$17,714,050","$8,857,025",""
"253","Rudy Gay","PF","SAS
                     SAS","30","2017","2018","2","$17,232,300","$8,616,150",""
"254","Luis Scola","PF","HOU
                     HOU","31","2012","2014","3","$17,173,866","$5,724,622","amnesty"
"255","Brandan Wright","PF","MEM
                     MEM","27","2015","2017","3","$17,129,640","$5,709,880",""
"256","Alan Williams","PF","PHX
                     PHX","23","2017","2019","3","$17,000,000","$5,666,667",""
