"Rank","Player","Pos","Team
                        Signed With","Age
                        At Signing","Start","End","Yrs","Value","AAV","Type"
"25","Jimmy Butler","SF","PHI
                     PHI","29","2019","2022","4","$140,790,600","$35,197,650","maximum"
"26","DeMar DeRozan","SF","TOR
                     TOR","26","2016","2020","5","$139,000,000","$27,800,000","maximum"
"27","Pascal Siakam","PF","TOR
                     TOR","25","2020","2023","4","$136,905,216","$34,226,304","rookie-maximum-extension"
"28","Kobe Bryant","SF","LAL
                     LAL","25","2004","2010","7","$136,434,375","$19,490,625",""
"29","Jaden McDaniels","PF","MIN
                     MIN","23","2024","2028","5","$131,000,000","$26,200,000","Rookie Extension"
"30","Gordon Hayward","SF","BOS
                     BOS","26","2017","2020","4","$127,829,970","$31,957,493","maximum"
"31","Kevin Garnett","PF","MIN
                     MIN","21","1998","2003","6","$126,016,300","$21,002,717","Rookie Extension"
"32","John Collins","PF","ATL
                     ATL","23","2021","2025","5","$125,000,000","$25,000,000","Free Agent"
"33","Carmelo Anthony","PF","NYK
                     NYK","29","2014","2018","5","$124,064,681","$24,812,936","maximum"
"34","Tim Duncan","PF","SAS
                     SAS","26","2003","2009","7","$122,007,706","$17,429,672",""
"T35","Nicolas Batum","SF","CHA
                     CHA","27","2016","2020","5","$120,000,000","$24,000,000",""
"T35","Gordon Hayward","SF","CHA
                     CHA","30","2020","2023","4","$120,000,000","$30,000,000","sign-and-trade"
"37","Chris Bosh","PF","MIA
                     MIA","29","2014","2018","5","$118,705,300","$23,741,060","maximum"
"38","Rashard Lewis","PF","ORL
                     ORL","27","2007","2012","6","$118,200,000","$19,700,000","Free Agent"
"39","Julius Randle","PF","NYK
                     NYK","26","2022","2025","4","$117,089,280","$29,272,320","Veteran Extension"
"40","Chris Webber","PF","SAC
                     SAC","27","2001","2007","7","$116,287,500","$16,612,500",""
"T41","LeBron James","PF","CLE
                     CLE","25","2010","2013","6","$109,837,500","$18,306,250","sign-and-trade"
"T41","Chris Bosh","PF","TOR
                     TOR","25","2010","2013","6","$109,837,500","$18,306,250","sign-and-trade"
"43","Andrew Wiggins","SF","GSW
                     GSW","27","2023","2026","4","$109,000,002","$27,250,001","Veteran Extension"
"44","Otto Porter Jr.","SF","WAS
                     WAS","23","2017","2020","4","$106,524,975","$26,631,244","maximum"
"45","Jaylen Brown","SF","BOS
                     BOS","23","2020","2023","4","$106,333,334","$26,583,334","Rookie Extension"
"46","Juwan Howard","PF","WAS
                     WAS","22","1996","2002","7","$105,375,000","$15,053,571",""
"47","Jaren Jackson Jr.","PF","MEM
                     MEM","22","2022","2025","4","$104,720,000","$26,180,000","Rookie Extension"
"48","Kawhi Leonard","SF","LAC
                     LAC","27","2019","2021","3","$103,137,300","$34,379,100","maximum"
"49","LeBron James","PF","LAL
                     LAL","39","2024","2025","2","$101,355,998","$50,677,999","maximum"
"T50","Draymond Green","PF","GSW
                     GSW","33","2023","2026","4","$100,000,000","$25,000,000","Free Agent"
"T50","Giannis Antetokounmpo","PF","MIL
                     MIL","22","2017","2020","4","$100,000,000","$25,000,000","Rookie Extension"
"T50","Kevin Garnett","PF","MIN
                     MIN","27","2004","2008","5","$100,000,000","$20,000,000","Veteran Extension"
"53","LeBron James","PF","CLE
                     CLE","31","2016","2017","3","$99,857,127","$33,285,709","maximum"
"54","Amar'e Stoudemire","PF","PHX
                     PHX","27","2010","2014","5","$99,743,996","$19,948,799",""
"55","Draymond Green","PF","GSW
                     GSW","29","2020","2023","4","$99,666,362","$24,916,591","Veteran Extension"
"56","LeBron James","PF","LAL
                     LAL","37","2023","2024","2","$99,023,288","$49,511,644","Maximum Veteran Extension"
"57","Cameron Johnson","SF","BKN
                     BKN","27","2023","2026","4","$94,500,000","$23,625,000","Free Agent"
"58","Harrison Barnes","PF","DAL
                     DAL","23","2016","2019","4","$94,438,525","$23,609,631","maximum"
"59","Chandler Parsons","SF","MEM
                     MEM","27","2016","2019","4","$94,438,523","$23,609,631","maximum"
"60","Kawhi Leonard","SF","SAS
                     SAS","23","2015","2019","5","$94,343,126","$18,868,625","rookie-maximum-extension"
"T61","Jalen Rose","SF","IND
                     IND","26","2000","2006","7","$93,000,000","$13,285,714",""
"T61","Khris Middleton","SF","MIL
                     MIL","31","2023","2025","3","$93,000,000","$31,000,000","Free Agent"
"63","Grant Hill","SF","ORL
                     ORL","27","2000","2006","7","$92,960,250","$13,280,036",""
"64","Jimmy Butler","SF","CHI
                     CHI","25","2015","2019","5","$92,339,878","$18,467,976",""
"65","Kenyon Martin","PF","DEN
                     DEN","26","2004","2010","7","$91,000,000","$13,000,000",""
"66","Mikal Bridges","SF","PHX
                     PHX","25","2022","2025","4","$90,900,000","$22,725,000","Rookie Extension"
"T67","Duncan Robinson","SF","MIA
                     MIA","27","2021","2025","5","$90,000,000","$18,000,000","Free Agent"
"T67","De'Andre Hunter","SF","ATL
                     ATL","24","2023","2026","4","$90,000,000","$22,500,000","Rookie Extension"
"T67","Paul Millsap","PF","DEN
                     DEN","31","2017","2019","3","$90,000,000","$30,000,000","Free Agent"
"T67","Kyle Kuzma","PF","WAS
                     WAS","27","2023","2026","4","$90,000,000","$22,500,000","Free Agent"
"T67","Patrick Williams","PF","CHI
                     CHI","22","2024","2028","5","$90,000,000","$18,000,000","Free Agent"
"72","Kevin Durant","SF","OKC
                     OKC","22","2011","2015","5","$89,163,134","$17,832,627","rookie-maximum-extension"
"73","Aaron Gordon","PF","DEN
                     DEN","26","2022","2025","4","$86,640,001","$21,660,000","Veteran Extension"
"74","Andrei Kirilenko","SF","UTA
                     UTA","23","2005","2010","6","$86,435,749","$14,405,958","Extension"
"75","Shawn Marion","SF","PHX
                     PHX","24","2003","2008","6","$86,310,000","$14,385,000","Extension"
"76","Dillon Brooks","SF","MEM
                     MEM","27","2023","2026","4","$86,000,001","$21,500,000","sign-and-trade"
"77","LeBron James","PF","LAL
                     LAL","35","2021","2022","2","$85,655,532","$42,827,766","Maximum Veteran Extension"
"78","Harrison Barnes","PF","SAC
                     SAC","26","2019","2022","4","$85,000,000","$21,250,000","Free Agent"
"79","Zach Randolph","PF","POR
                     POR","23","2005","2010","6","$84,333,334","$14,055,556","Rookie Extension"
"80","LaMarcus Aldridge","PF","SAS
                     SAS","29","2015","2018","4","$84,072,030","$21,018,008","maximum"
"81","Kobe Bryant","SF","LAL
                     LAL","32","2011","2013","3","$83,547,447","$27,849,149","Veteran Extension"
"82","Rudy Gay","PF","MEM
                     MEM","23","2010","2014","5","$82,302,690","$16,460,538",""
"83","Elton Brand","PF","LAC
                     LAC","23","2003","2007","6","$82,200,000","$13,700,000","Free Agent"
"84","Draymond Green","PF","GSW
                     GSW","24","2015","2019","5","$82,000,000","$16,400,000",""
"85","DeMar DeRozan","SF","CHI
                     CHI","32","2021","2023","3","$81,900,000","$27,300,000","sign-and-trade"
"86","Andre Iguodala","SF","PHI
                     PHI","23","2008","2013","6","$80,500,000","$13,416,667","Free Agent"
"T87","Dirk Nowitzki","PF","DAL
                     DAL","31","2010","2013","4","$80,000,000","$20,000,000",""
"T87","Rasheed Wallace","PF","POR
                     POR","23","1998","2003","6","$80,000,000","$13,333,333","Extension"
"T87","Ryan Anderson","PF","HOU
                     HOU","27","2016","2019","4","$80,000,000","$20,000,000",""
"T87","Aaron Gordon","PF","ORL
                     ORL","22","2018","2021","4","$80,000,000","$20,000,000",""
"T87","Davis Bertans","PF","WAS
                     WAS","28","2020","2024","5","$80,000,000","$16,000,000","Free Agent"
"92","Elton Brand","PF","PHI
                     PHI","28","2008","2012","5","$79,795,494","$15,959,099","Free Agent"
"93","David Lee","PF","NYK
                     NYK","26","2010","2015","6","$79,537,680","$13,256,280",""
"94","Antawn Jamison","PF","GSW
                     GSW","25","2002","2007","6","$79,283,532","$13,213,922","Extension"
"95","Paul Pierce","SF","BOS
                     BOS","24","2002","2006","6","$79,283,512","$13,213,919",""
"96","Carmelo Anthony","PF","DEN
                     DEN","22","2007","2011","5","$78,899,560","$15,779,912","rookie-maximum-extension"
"97","Scottie Pippen","SF","CHI
                     CHI","33","1999","2002","5","$77,356,730","$15,471,346","sign-and-trade"
"98","Amar'e Stoudemire","PF","PHX
                     PHX","23","2006","2009","5","$75,352,750","$15,070,550","Extension"
"T99","Miles Bridges","SF","CHA
                     CHA","26","2024","2026","3","$75,000,000","$25,000,000","Free Agent"
"T99","Carlos Boozer","PF","CHI
                     CHI","28","2010","2013","5","$75,000,000","$15,000,000",""
"101","Domantas Sabonis","PF","IND
                     IND","27","2020","2023","4","$74,900,000","$18,725,000","Rookie Extension"
"102","Chris Webber","PF","GSW
                     GSW","19","1993","2007","15","$74,400,000","$4,960,000","Rookie"
"103","DeMar DeRozan","SF","CHI
                     CHI","34","2024","2026","3","$73,890,000","$24,630,000","sign-and-trade"
"T104","Chris Webber","PF","GSW
                     GSW","20","1994","2005","12","$73,100,000","$6,091,667",""
"T104","Bojan Bogdanovic","SF","UTA
                     UTA","29","2019","2022","4","$73,100,000","$18,275,000","Free Agent"
"T106","OG Anunoby","SF","TOR
                     TOR","23","2021","2024","4","$72,000,000","$18,000,000","Rookie Extension"
"T106","Luol Deng","SF","LAL
                     LAL","30","2016","2019","4","$72,000,000","$18,000,000",""
"108","Lamar Odom","PF","MIA
                     MIA","23","2003","2008","6","$71,723,313","$11,953,886",""
"109","Luol Deng","SF","CHI
                     CHI","22","2008","2013","6","$71,005,425","$11,834,238",""
"110","Antoine Walker","PF","BOS
                     BOS","22","1999","2004","6","$70,880,000","$11,813,333","Extension"
"111","Carlos Boozer","PF","UTA
                     UTA","22","2004","2009","6","$70,196,599","$11,699,433",""
"T112","Khris Middleton","SF","MIL
                     MIL","23","2015","2019","5","$70,000,000","$14,000,000",""
"T112","Evan Turner","SF","POR
                     POR","27","2016","2019","4","$70,000,000","$17,500,000",""
"114","Jonathan Isaac","PF","ORL
                     ORL","23","2021","2024","4","$69,600,000","$17,400,000","Rookie Extension"
"115","Dirk Nowitzki","PF","DAL
                     DAL","27","2006","2009","4","$69,335,337","$17,333,834","Extension"
"116","Lauri Markkanen","PF","CHI
                     CHI","24","2021","2024","4","$67,470,906","$16,867,727","sign-and-trade"
"117","Karl Malone","PF","UTA
                     UTA","35","1999","2002","4","$66,500,000","$16,625,000",""
"118","Zach Randolph","PF","MEM
                     MEM","29","2011","2014","4","$66,000,000","$16,500,000","Veteran Extension"
"119","LaMarcus Aldridge","PF","POR
                     POR","24","2010","2014","5","$65,000,000","$13,000,000","Rookie Extension"
"120","Danilo Gallinari","PF","DEN
                     DEN","28","2017","2019","3","$64,762,737","$21,587,579","sign-and-trade"
"121","Carmelo Anthony","PF","NYK
                     NYK","27","2012","2013","3","$64,166,861","$21,388,954","Veteran Extension"
"T122","Tobias Harris","PF","ORL
                     ORL","22","2015","2018","4","$64,000,000","$16,000,000",""
"T122","Marcus Morris Sr.","SF","LAC
                     LAC","31","2020","2023","4","$64,000,000","$16,000,000","Free Agent"
"124","Peja Stojakovic","SF","IND
                     IND","2,005","2006","2010","5","$63,280,000","$12,656,000",""
"125","Gordon Hayward","SF","UTA
                     UTA","23","2014","2017","4","$62,965,420","$15,741,355","maximum"
"126","Julius Randle","PF","NYK
                     NYK","24","2019","2021","3","$62,100,000","$20,700,000","Free Agent"
"127","Kevin Durant","SF","GSW
                     GSW","29","2018","2019","2","$61,500,000","$30,750,000","Free Agent"
"128","Danilo Gallinari","PF","ATL
                     ATL","32","2020","2022","3","$61,425,000","$20,475,000","sign-and-trade"
"129","Paul Pierce","SF","BOS
                     BOS","32","2010","2013","4","$61,333,334","$15,333,334",""
"130","Richard Jefferson","SF","NJN
                     NJN","24","2005","2009","5","$61,000,000","$12,200,000","Extension"
"131","LeBron James","PF","CLE
                     CLE","22","2007","2010","4","$60,380,987","$15,095,247","Extension"
"132","Paul Millsap","PF","ATL
                     ATL","29","2015","2017","3","$60,216,100","$20,072,033",""
"133","Jerami Grant","PF","DET
                     DET","25","2020","2022","3","$60,007,500","$20,002,500","sign-and-trade"
"T134","Danny Granger","SF","IND
                     IND","25","2009","2013","5","$60,000,000","$12,000,000",""
"T134","Kristaps Porzingis","PF","BOS
                     BOS","27","2024","2025","2","$60,000,000","$30,000,000","Veteran Extension"
"136","Jonathan Isaac","PF","ORL
                     ORL","26","2025","2028","4","$59,000,000","$14,750,000","Veteran Extension"
"137","Rasheed Wallace","PF","DET
                     DET","29","2004","2008","5","$58,700,000","$11,740,000",""
"T138","Chris Webber","PF","WAS
                     WAS","21","1995","2000","6","$58,500,000","$9,750,000",""
"T138","Antonio McDyess","PF","DEN
                     DEN","24","1999","2003","5","$58,500,000","$11,700,000",""
"T140","Obi Toppin","PF","IND
                     IND","26","2024","2027","4","$58,000,000","$14,500,000","Free Agent"
"T140","Josh Smith","SF","ATL
                     ATL","22","2008","2012","5","$58,000,000","$11,600,000",""
"T140","DeMarre Carroll","SF","TOR
                     TOR","28","2015","2018","4","$58,000,000","$14,500,000",""
"143","Troy Murphy","PF","GSW
                     GSW","24","2005","2010","6","$57,999,998","$9,666,666",""
"144","Zaccharie Risacher","SF","ATL
                     ATL","19","2024","2027","4","$57,027,437","$14,256,859","Rookie"
"145","Kobe Bryant","SF","LAL
                     LAL","20","1999","2003","5","$56,255,000","$11,251,000","Rookie Extension"
"146","Dorian Finney-Smith","PF","DAL
                     DAL","28","2022","2025","4","$55,560,960","$13,890,240","Veteran Extension"
"147","Deni Avdija","SF","WAS
                     WAS","22","2024","2027","4","$55,000,000","$13,750,000","Rookie Extension"
"148","Marvin Williams","PF","CHA
                     CHA","29","2016","2019","4","$54,512,500","$13,628,125",""
"149","Kevin Durant","SF","GSW
                     GSW","27","2016","2017","2","$54,274,505","$27,137,253","maximum"
"T150","Josh Smith","SF","DET
                     DET","27","2013","2016","4","$54,000,000","$13,500,000",""
"T150","Thaddeus Young","PF","BKN
                     BKN","26","2015","2018","4","$54,000,000","$13,500,000",""
"T150","Terrence Ross","SF","ORL
                     ORL","27","2019","2022","4","$54,000,000","$13,500,000","Free Agent"
"T150","Harrison Barnes","PF","SAC
                     SAC","31","2023","2025","3","$54,000,000","$18,000,000","Veteran Extension"
"154","Herb Jones","SF","NOP
                     NOP","24","2023","2026","4","$53,827,872","$13,456,968","Free Agent"
"155","Grant Williams","PF","BOS
                     BOS","24","2023","2026","4","$53,341,500","$13,335,375","sign-and-trade"
"156","Jamal Mashburn","SF","CHA
                     CHA","27","2000","2006","6","$53,100,000","$8,850,000","Extension"
"157","Hedo Turkoglu","SF","TOR
                     TOR","29","2009","2013","5","$52,800,000","$10,560,000",""
"T158","Michael Kidd-Gilchrist","SF","CHA
                     CHA","22","2016","2019","4","$52,000,000","$13,000,000","Rookie Extension"
"T158","Joe Ingles","SF","UTA
                     UTA","29","2017","2020","4","$52,000,000","$13,000,000",""
"T158","Tobias Harris","PF","DET
                     DET","31","2024","2025","2","$52,000,000","$26,000,000","Free Agent"
"161","Kevin Garnett","PF","BOS
                     BOS","32","2009","2011","3","$51,300,000","$17,100,000","Veteran Extension"
"162","Kevin Durant","SF","GSW
                     GSW","28","2017","2018","2","$51,250,000","$25,625,000","Free Agent"
"163","Alex Sarr","PF","WAS
                     WAS","19","2024","2027","4","$51,036,398","$12,759,100","Rookie"
"164","Rui Hachimura","PF","LAL
                     LAL","25","2023","2025","3","$51,000,000","$17,000,000","Free Agent"
"165","Paolo Banchero","PF","ORL
                     ORL","19","2022","2025","4","$50,158,769","$12,539,692","Rookie"
"T166","Brandon Clarke","PF","MEM
                     MEM","26","2023","2026","4","$50,000,000","$12,500,000","Rookie Extension"
"T166","Antawn Jamison","PF","WAS
                     WAS","31","2008","2011","4","$50,000,000","$12,500,000","Extension"
"T166","Kenneth Faried","PF","DEN
                     DEN","25","2015","2018","4","$50,000,000","$12,500,000","Rookie Extension"
"T166","Kelly Olynyk","PF","MIA
                     MIA","25","2017","2020","4","$50,000,000","$12,500,000",""
"T166","LaMarcus Aldridge","PF","SAS
                     SAS","33","2019","2020","2","$50,000,000","$25,000,000","Veteran Extension"
"171","Horace Grant","PF","ORL
                     ORL","30","1996","2000","5","$49,438,095","$9,887,619","Free Agent"
"172","Brandon Miller","SF","CHA
                     CHA","20","2023","2026","4","$49,378,426","$12,344,607","Rookie"
"173","Bobby Portis","PF","MIL
                     MIL","27","2022","2025","4","$48,578,208","$12,144,552","Free Agent"
"174","Kobe Bryant","SF","LAL
                     LAL","35","2014","2015","2","$48,500,000","$24,250,000","Veteran Extension"
"175","Anderson Varejao","PF","CLE
                     CLE","26","2009","2014","6","$48,300,000","$8,050,000",""
"176","Corey Maggette","SF","GSW
                     GSW","28","2008","2012","5","$48,124,137","$9,624,827",""
"177","Gerald Wallace","SF","CHA
                     CHA","24","2007","2011","5","$48,075,000","$9,615,000",""
"T178","Andre Iguodala","SF","DEN
                     DEN","28","2013","2016","4","$48,000,000","$12,000,000","sign-and-trade"
"T178","Solomon Hill","SF","NOP
                     NOP","24","2016","2019","4","$48,000,000","$12,000,000",""
"T178","Andre Iguodala","SF","GSW
                     GSW","32","2017","2019","3","$48,000,000","$16,000,000","Free Agent"
"T178","Quentin Richardson","PF","PHX
                     PHX","23","2004","2009","6","$48,000,000","$8,000,000",""
"T178","Jarred Vanderbilt","PF","LAL
                     LAL","24","2024","2027","4","$48,000,000","$12,000,000","Veteran Extension"
"T178","John Henson","PF","MIL
                     MIL","25","2016","2019","4","$48,000,000","$12,000,000","Rookie Extension"
"184","Dirk Nowitzki","PF","DAL
                     DAL","23","2002","2005","4","$47,821,813","$11,955,453","Extension"
"185","Tayshaun Prince","SF","DET
                     DET","25","2006","2010","5","$47,500,000","$9,500,000","Extension"
"186","Luis Scola","PF","HOU
                     HOU","29","2010","2014","5","$47,041,037","$9,408,207",""
"187","T.J. Warren","SF","PHX
                     PHX","24","2018","2021","4","$47,000,000","$11,750,000","Rookie Extension"
"188","LeBron James","PF","CLE
                     CLE","30","2015","2016","2","$46,974,673","$23,487,337","maximum"
"189","Robert Covington","PF","PHI
                     PHI","27","2018","2021","4","$46,879,127","$11,719,782","Veteran Extension"
"T190","Wilson Chandler","SF","DEN
                     DEN","27","2015","2018","4","$46,500,000","$11,625,000","Veteran Extension"
"T190","PJ Washington","PF","CHA
                     CHA","25","2023","2025","3","$46,500,000","$15,500,000","Free Agent"
"192","Nicolas Batum","SF","POR
                     POR","23","2012","2015","4","$46,121,500","$11,530,375",""
"193","Chandler Parsons","SF","DAL
                     DAL","25","2014","2016","3","$46,084,500","$15,361,500",""
"194","Caron Butler","SF","MIA
                     MIA","25","2006","2010","5","$45,249,900","$9,049,980",""
"195","Danilo Gallinari","PF","DEN
                     DEN","26","2015","2017","3","$45,150,000","$15,050,000","Veteran Extension"
"196","Mike Dunleavy","SF","IND
                     IND","21","2002","2010","5","$45,000,000","$9,000,000","Extension"
"197","Larry Nance Jr.","PF","CLE
                     CLE","25","2019","2022","4","$44,800,000","$11,200,000","Rookie Extension"
"198","Zion Williamson","PF","NOP
                     NOP","18","2019","2022","4","$44,271,137","$11,067,784","Rookie"
"199","Thaddeus Young","PF","CHI
                     CHI","30","2019","2021","3","$43,635,000","$14,545,000","Free Agent"
"200","James Johnson","PF","MIA
                     MIA","29","2017","2019","3","$43,295,100","$14,431,700",""
"201","Thaddeus Young","PF","PHI
                     PHI","22","2011","2014","5","$43,000,000","$8,600,000",""
"202","Chris Bosh","PF","TOR
                     TOR","22","2007","2009","3","$42,645,493","$14,215,164","rookie-maximum-extension"
"203","LeBron James","PF","CLE
                     CLE","29","2014","2014","2","$42,217,798","$21,108,899","maximum"
"T204","Royce O'Neale","SF","PHX
                     PHX","31","2024","2027","4","$42,000,000","$10,500,000","Free Agent"
"T204","Danilo Gallinari","PF","DEN
                     DEN","23","2012","2015","4","$42,000,000","$10,500,000","Rookie Extension"
"T204","Jon Leuer","PF","DET
                     DET","26","2016","2019","4","$42,000,000","$10,500,000",""
"T204","Maurice Harkless","SF","POR
                     POR","22","2016","2019","4","$42,000,000","$10,500,000",""
"208","Doug McDermott","SF","SAS
                     SAS","29","2021","2023","3","$41,250,000","$13,750,000","sign-and-trade"
"209","Metta World Peace","SF","CHI
                     CHI","23","2003","2008","6","$40,800,000","$6,800,000","Extension"
"210","Jerry Stackhouse","SF","DET
                     DET","23","1998","2004","7","$40,540,750","$5,791,536",""
"211","Jabari Smith Jr.","PF","HOU
                     HOU","19","2022","2025","4","$40,330,432","$10,082,608","Rookie"
"212","Shawn Marion","SF","TOR
                     TOR","30","2009","2013","5","$40,019,211","$8,003,842",""
"213","Gerald Wallace","SF","BKN
                     BKN","29","2012","2015","4","$40,000,030","$10,000,008",""
"T214","Danny Green","SF","SAS
                     SAS","27","2015","2018","4","$40,000,000","$10,000,000",""
"T214","Tyrus Thomas","PF","CHA
                     CHA","23","2010","2014","5","$40,000,000","$8,000,000",""
"T214","Tim Duncan","PF","SAS
                     SAS","33","2010","2011","2","$40,000,000","$20,000,000","Veteran Extension"
"T214","Ersan Ilyasova","PF","MIL
                     MIL","24","2012","2016","5","$40,000,000","$8,000,000",""
"T214","Rudy Gay","PF","SAC
                     SAC","28","2015","2017","3","$40,000,000","$13,333,333","Veteran Extension"
"219","John Salmons","SF","MIL
                     MIL","30","2010","2014","5","$39,166,000","$7,833,200",""
"220","Bojan Bogdanovic","SF","DET
                     DET","33","2023","2024","2","$39,032,850","$19,516,425","Veteran Extension"
"221","Kyle Kuzma","PF","LAL
                     LAL","25","2021","2023","3","$39,000,000","$13,000,000","Rookie Extension"
"222","Richard Jefferson","SF","SAS
                     SAS","29","2010","2013","4","$38,892,000","$9,723,000",""
"223","Stephen Jackson","SF","ATL
                     ATL","25","2004","2009","6","$38,250,000","$6,375,000","sign-and-trade"
"224","DeMar DeRozan","SF","TOR
                     TOR","23","2013","2016","4","$38,000,000","$9,500,000","Rookie Extension"
"225","David West","PF","NOH
                     NOH","26","2007","2010","4","$37,875,000","$9,468,750",""
"226","Paul Pierce","SF","BOS
                     BOS","30","2008","2009","2","$37,873,615","$18,936,808",""
"227","Charlie Villanueva","PF","DET
                     DET","24","2009","2013","5","$37,700,000","$7,540,000",""
"T228","Marvin Williams","PF","ATL
                     ATL","22","2009","2013","5","$37,500,000","$7,500,000",""
"T228","Andres Nocioni","PF","CHI
                     CHI","2,007","2008","2012","5","$37,500,000","$7,500,000",""
"T228","Marvin Bagley III","PF","DET
                     DET","23","2022","2024","3","$37,500,000","$12,500,000","Free Agent"
"231","Ron Holland","SF","DET
                     DET","18","2024","2027","4","$37,463,383","$9,365,846","Rookie"
"232","Kelly Olynyk","PF","DET
                     DET","30","2021","2023","3","$37,195,122","$12,398,374","Free Agent"
"233","Kyle Anderson","PF","MEM
                     MEM","24","2018","2021","4","$37,156,300","$9,289,075",""
"234","Shane Battier","SF","MEM
                     MEM","26","2005","2010","6","$36,847,500","$6,141,250","Extension"
"235","Hedo Turkoglu","SF","ORL
                     ORL","24","2004","2008","6","$36,772,500","$6,128,750",""
"236","Evan Mobley","PF","CLE
                     CLE","20","2021","2024","4","$36,664,177","$9,166,044","Rookie"
"237","David West","PF","IND
                     IND","32","2013","2015","3","$36,600,000","$12,200,000",""
"238","Keegan Murray","PF","SAC
                     SAC","21","2022","2025","4","$36,371,093","$9,092,773","Rookie"
"239","Marvin Bagley III","PF","SAC
                     SAC","18","2018","2021","4","$36,137,474","$9,034,369","Rookie"
"T240","Royce O'Neale","SF","UTA
                     UTA","26","2020","2023","4","$36,000,000","$9,000,000","Veteran Extension"
"T240","Kevin Garnett","PF","BOS
                     BOS","35","2012","2014","3","$36,000,000","$12,000,000",""
"T240","Tiago Splitter","PF","SAS
                     SAS","27","2013","2016","4","$36,000,000","$9,000,000",""
"243","Maxi Kleber","PF","DAL
                     DAL","26","2019","2022","4","$35,600,000","$8,900,000","Free Agent"
"244","Al Harrington","PF","ATL
                     ATL","25","2006","2009","4","$35,303,750","$8,825,938","sign-and-trade"
"245","Chris Boucher","PF","TOR
                     TOR","29","2022","2024","3","$35,250,000","$11,750,000","Free Agent"
"246","Jeff Green","PF","BOS
                     BOS","25","2012","2015","4","$35,200,000","$8,800,000",""
"247","Caleb Martin","SF","MIA
                     MIA","28","2024","2027","4","$35,040,704","$8,760,176","Free Agent"
"T248","Jason Caffey","PF","GSW
                     GSW","24","1998","2004","7","$35,000,000","$5,000,000","Free Agent"
"T248","Travis Outlaw","SF","NJN
                     NJN","26","2011","2014","5","$35,000,000","$7,000,000",""
"T248","Corey Maggette","SF","LAC
                     LAC","23","2003","2007","5","$35,000,000","$7,000,000",""
"T248","Jae Crowder","SF","BOS
                     BOS","24","2015","2019","5","$35,000,000","$7,000,000",""
"T248","Dillon Brooks","SF","MEM
                     MEM","23","2020","2022","3","$35,000,000","$11,666,667","Rookie Extension"
"253","Brian Cardinal","PF","MEM
                     MEM","2,003","2004","2009","6","$34,596,300","$5,766,050",""
